File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
mc_w.l,12.747589%,5168,8,5096,64,8,0
m_ws.l,9.521225%,3860,0,3340,520,0,0
protocol.o,6.435461%,2609,1233,2608,0,1,1232
mf_w.l,5.737401%,2326,0,2326,0,0,0
printfa.o,5.693002%,2308,0,2308,0,0,0
kinematics.o,4.726080%,1916,88,1916,0,0,88
app_ps2.o,4.222886%,1712,142,700,870,142,0
uart.o,3.191830%,1294,2058,1284,0,10,2048
rred.o,2.723169%,1104,0,904,200,0,0
main.o,2.614637%,1060,1024,36,0,1024,0
pwmservo.o,2.456772%,996,228,992,0,4,224
spi_flash.o,2.291507%,929,4119,924,0,5,4114
scanf_fp.o,2.165709%,878,0,878,0,0,0
_scanf.o,2.002911%,812,0,812,0,0,0
stm32f10x_rcc.o,2.002911%,812,20,792,0,20,0
application.o,1.854912%,752,8,744,0,8,0
acos.o,1.766113%,716,0,636,80,0,0
atan.o,1.716781%,696,0,544,152,0,0
stm32f10x_usart.o,1.652648%,670,0,670,0,0,0
soft_i2c.o,1.637848%,664,0,664,0,0,0
oled.o,1.193853%,484,0,484,0,0,0
stm32f10x_gpio.o,1.174120%,476,0,476,0,0,0
stm32f10x_dma.o,1.055721%,428,0,428,0,0,0
action.o,1.016255%,412,32,380,0,32,0
timer.o,0.910190%,369,3,366,0,3,0
ps2.o,0.907723%,368,9,368,0,0,9
system_stm32f10x.o,0.858390%,348,20,328,0,20,0
dadd.o,0.823857%,334,0,334,0,0,0
_scanf_int.o,0.818924%,332,0,332,0,0,0
cos_i.o,0.739992%,300,0,252,48,0,0
sin_i.o,0.680792%,276,0,236,40,0,0
startup_stm32f10x_md.o,0.670926%,272,1024,36,236,0,1024
stm32f10x_tim.o,0.665992%,270,0,270,0,0,0
dmul.o,0.562394%,228,0,228,0,0,0
ddiv.o,0.547594%,222,0,222,0,0,0
systick.o,0.493328%,200,4,196,0,4,0
depilogue.o,0.458795%,186,0,186,0,0,0
fadd.o,0.434128%,176,0,176,0,0,0
poly.o,0.419329%,170,0,170,0,0,0
dsqrt.o,0.399595%,162,0,162,0,0,0
sin.o,0.394662%,160,0,160,0,0,0
cos.o,0.384796%,156,0,156,0,0,0
fdiv.o,0.305863%,124,0,124,0,0,0
global.o,0.291063%,118,0,118,0,0,0
ultrasonic.o,0.286130%,116,0,116,0,0,0
stm32f10x_spi.o,0.276264%,112,0,112,0,0,0
misc.o,0.276264%,112,0,112,0,0,0
fepilogue.o,0.271330%,110,0,110,0,0,0
ctype_c.o,0.256530%,104,0,40,64,0,0
fmul.o,0.246664%,100,0,100,0,0,0
uldiv.o,0.241731%,98,0,98,0,0,0
dcmp4.o,0.236797%,96,0,96,0,0,0
rcc.o,0.231864%,94,0,94,0,0,0
__dczerorl2.o,0.212131%,86,0,86,0,0,0
sqrt.o,0.187465%,76,0,76,0,0,0
sys.o,0.177598%,72,0,72,0,0,0
fmin.o,0.162798%,66,0,66,0,0,0
fmax.o,0.162798%,66,0,66,0,0,0
_sgetc.o,0.157865%,64,0,64,0,0,0
dfixi.o,0.152932%,62,0,62,0,0,0
servopid.o,0.147998%,60,0,60,0,0,0
d2f.o,0.138132%,56,0,56,0,0,0
__0sscanf.o,0.138132%,56,0,56,0,0,0
led.o,0.138132%,56,0,56,0,0,0
beep.o,0.128265%,52,0,52,0,0,0
ffixi.o,0.123332%,50,0,50,0,0,0
dfixul.o,0.118399%,48,0,48,0,0,0
cdrcmple.o,0.118399%,48,0,48,0,0,0
cdcmple.o,0.118399%,48,0,48,0,0,0
dscalb.o,0.113465%,46,0,46,0,0,0
uidiv.o,0.108532%,44,0,44,0,0,0
ffixui.o,0.098666%,40,0,40,0,0,0
scanf_char.o,0.098666%,40,0,40,0,0,0
fpclassify.o,0.098666%,40,0,40,0,0,0
f2d.o,0.093732%,38,0,38,0,0,0
memseta.o,0.088799%,36,0,36,0,0,0
memcpya.o,0.088799%,36,0,36,0,0,0
llsshr.o,0.088799%,36,0,36,0,0,0
init.o,0.088799%,36,0,36,0,0,0
dflti.o,0.083866%,34,0,34,0,0,0
dunder.o,0.083866%,34,0,34,0,0,0
llushr.o,0.078932%,32,0,32,0,0,0
llshl.o,0.073999%,30,0,30,0,0,0
handlers.o,0.073999%,30,0,30,0,0,0
_chval.o,0.069066%,28,0,28,0,0,0
dfltui.o,0.064133%,26,0,26,0,0,0
dfltul.o,0.059199%,24,0,24,0,0,0
cfrcmple.o,0.049333%,20,0,20,0,0,0
cfcmple.o,0.049333%,20,0,20,0,0,0
fflti.o,0.044399%,18,0,18,0,0,0
strcpy.o,0.044399%,18,0,18,0,0,0
errno.o,0.039466%,16,4,12,0,4,0
strlen.o,0.034533%,14,0,14,0,0,0
ffltui.o,0.024666%,10,0,10,0,0,0
isspace_c.o,0.024666%,10,0,10,0,0,0
entry9a.o,0.019733%,8,0,8,0,0,0
entry2.o,0.019733%,8,0,8,0,0,0
stdout.o,0.009867%,4,4,0,0,4,0
entry5.o,0.009867%,4,0,4,0,0,0
