File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
mc_w.l,11.572654%,5168,8,5096,64,8,0
m_ws.l,8.643661%,3860,0,3340,520,0,0
OLED.o,7.595674%,3392,0,742,2650,0,0
Protocol.o,5.770652%,2577,1233,2576,0,1,1232
mf_w.l,5.208590%,2326,0,2326,0,0,0
printfa.o,5.168283%,2308,0,2308,0,0,0
Kinematics.o,4.290481%,1916,88,1916,0,0,88
App_Ps2.o,3.833666%,1712,142,700,870,142,0
Uart.o,3.739615%,1670,1038,1656,0,14,1024
main.o,2.752088%,1229,1029,200,0,1029,0
rred.o,2.472177%,1104,0,904,200,0,0
Application.o,2.472177%,1104,20,1084,0,20,0
Soft_I2C.o,2.288555%,1022,0,1022,0,0,0
PwmServo.o,2.230333%,996,228,992,0,4,224
SPI_Flash.o,2.080301%,929,4119,924,0,5,4114
scanf_fp.o,1.966097%,878,0,878,0,0,0
_scanf.o,1.818304%,812,0,812,0,0,0
stm32f10x_rcc.o,1.746647%,780,20,760,0,20,0
acos.o,1.603332%,716,0,636,80,0,0
atan.o,1.558546%,696,0,544,152,0,0
stm32f10x_usart.o,1.271917%,568,0,568,0,0,0
stm32f10x_gpio.o,1.065902%,476,0,476,0,0,0
Function.o,0.992006%,443,8,336,99,8,0
Action.o,0.922588%,412,32,380,0,32,0
Timer.o,0.826298%,369,3,366,0,3,0
Ps2.o,0.824059%,368,9,368,0,0,9
system_stm32f10x.o,0.779273%,348,20,328,0,20,0
dadd.o,0.747923%,334,0,334,0,0,0
_scanf_int.o,0.743445%,332,0,332,0,0,0
cos_i.o,0.671787%,300,0,252,48,0,0
sin_i.o,0.618044%,276,0,236,40,0,0
startup_stm32f10x_md.o,0.609087%,272,1024,36,236,0,1024
stm32f10x_tim.o,0.604608%,270,0,270,0,0,0
dmul.o,0.510558%,228,0,228,0,0,0
ddiv.o,0.497123%,222,0,222,0,0,0
SysTick.o,0.447858%,200,4,196,0,4,0
depilogue.o,0.416508%,186,0,186,0,0,0
fadd.o,0.394115%,176,0,176,0,0,0
poly.o,0.380679%,170,0,170,0,0,0
dsqrt.o,0.362765%,162,0,162,0,0,0
sin.o,0.358286%,160,0,160,0,0,0
cos.o,0.349329%,156,0,156,0,0,0
fdiv.o,0.277672%,124,0,124,0,0,0
Global.o,0.264236%,118,0,118,0,0,0
Ultrasonic.o,0.259758%,116,0,116,0,0,0
stm32f10x_spi.o,0.250801%,112,0,112,0,0,0
misc.o,0.250801%,112,0,112,0,0,0
Led.o,0.250801%,112,0,112,0,0,0
fepilogue.o,0.246322%,110,0,110,0,0,0
ctype_c.o,0.232886%,104,0,40,64,0,0
fmul.o,0.223929%,100,0,100,0,0,0
uldiv.o,0.219450%,98,0,98,0,0,0
dcmp4.o,0.214972%,96,0,96,0,0,0
rcc.o,0.210493%,94,0,94,0,0,0
__dczerorl2.o,0.192579%,86,0,86,0,0,0
sqrt.o,0.170186%,76,0,76,0,0,0
sys.o,0.161229%,72,0,72,0,0,0
fmin.o,0.147793%,66,0,66,0,0,0
fmax.o,0.147793%,66,0,66,0,0,0
_sgetc.o,0.143315%,64,0,64,0,0,0
dfixi.o,0.138836%,62,0,62,0,0,0
ServoPID.o,0.134357%,60,0,60,0,0,0
d2f.o,0.125400%,56,0,56,0,0,0
__0sscanf.o,0.125400%,56,0,56,0,0,0
Beep.o,0.116443%,52,0,52,0,0,0
ffixi.o,0.111965%,50,0,50,0,0,0
dfixul.o,0.107486%,48,0,48,0,0,0
cdrcmple.o,0.107486%,48,0,48,0,0,0
cdcmple.o,0.107486%,48,0,48,0,0,0
GY33T.o,0.107486%,48,0,48,0,0,0
dscalb.o,0.103007%,46,0,46,0,0,0
uidiv.o,0.098529%,44,0,44,0,0,0
ffixui.o,0.089572%,40,0,40,0,0,0
scanf_char.o,0.089572%,40,0,40,0,0,0
fpclassify.o,0.089572%,40,0,40,0,0,0
f2d.o,0.085093%,38,0,38,0,0,0
memseta.o,0.080614%,36,0,36,0,0,0
memcpya.o,0.080614%,36,0,36,0,0,0
llsshr.o,0.080614%,36,0,36,0,0,0
init.o,0.080614%,36,0,36,0,0,0
dflti.o,0.076136%,34,0,34,0,0,0
dunder.o,0.076136%,34,0,34,0,0,0
llushr.o,0.071657%,32,0,32,0,0,0
llshl.o,0.067179%,30,0,30,0,0,0
handlers.o,0.067179%,30,0,30,0,0,0
_chval.o,0.062700%,28,0,28,0,0,0
dfltui.o,0.058222%,26,0,26,0,0,0
dfltul.o,0.053743%,24,0,24,0,0,0
cfrcmple.o,0.044786%,20,0,20,0,0,0
cfcmple.o,0.044786%,20,0,20,0,0,0
fflti.o,0.040307%,18,0,18,0,0,0
strcpy.o,0.040307%,18,0,18,0,0,0
errno.o,0.035829%,16,4,12,0,4,0
strlen.o,0.031350%,14,0,14,0,0,0
ffltui.o,0.022393%,10,0,10,0,0,0
isspace_c.o,0.022393%,10,0,10,0,0,0
entry9a.o,0.017914%,8,0,8,0,0,0
entry2.o,0.017914%,8,0,8,0,0,0
stdout.o,0.008957%,4,4,0,0,4,0
entry5.o,0.008957%,4,0,4,0,0,0
