File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
SPI_Flash.o,41.222977%,4119,929,924,0,5,4114
Uart.o,20.596478%,2058,1294,1284,0,10,2048
Protocol.o,12.860289%,1285,3101,3100,0,1,1284
startup_stm32f10x_md.o,10.248199%,1024,272,36,236,0,1024
main.o,10.248199%,1024,1060,36,0,1024,0
PwmServo.o,2.281826%,228,996,992,0,4,224
App_Ps2.o,1.421137%,142,1712,700,870,142,0
Action.o,0.320256%,32,412,380,0,32,0
system_stm32f10x.o,0.200160%,20,348,328,0,20,0
stm32f10x_rcc.o,0.200160%,20,812,792,0,20,0
Ps2.o,0.090072%,9,368,368,0,0,9
mc_w.l,0.080064%,8,5168,5096,64,8,0
Application.o,0.080064%,8,932,900,24,8,0
stdout.o,0.040032%,4,4,0,0,4,0
errno.o,0.040032%,4,16,12,0,4,0
SysTick.o,0.040032%,4,200,196,0,4,0
Timer.o,0.030024%,3,369,366,0,3,0
