File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
mc_w.l,10.399076%,5136,8,5064,64,8,0
m_ws.l,8.904817%,4398,0,4078,320,0,0
oled.o,6.867926%,3392,0,742,2650,0,0
protocol.o,5.954767%,2941,1285,2916,24,1,1284
mf_w.l,4.972767%,2456,0,2456,0,0,0
kinematics.o,4.745996%,2344,0,2200,144,0,0
printfa.o,4.592116%,2268,0,2268,0,0,0
app_ps2.o,3.466359%,1712,142,700,870,142,0
application.o,3.101905%,1532,28,1480,24,28,0
uart.o,2.887283%,1426,3082,1416,0,10,3072
main.o,2.520804%,1245,1029,216,0,1029,0
function.o,2.306181%,1139,36,1004,99,36,0
rred.o,2.235316%,1104,0,904,200,0,0
soft_i2c.o,2.069287%,1022,0,1022,0,0,0
pwmservo.o,2.016643%,996,228,992,0,4,224
spi_flash.o,1.880986%,929,4119,924,0,5,4114
scanf_fp.o,1.777724%,878,0,878,0,0,0
stm32f10x_rcc.o,1.692685%,836,20,816,0,20,0
_scanf.o,1.652190%,816,0,816,0,0,0
atan2f.o,1.368726%,676,0,676,0,0,0
stm32f10x_usart.o,1.356577%,670,0,670,0,0,0
stm32f10x_gpio.o,0.963777%,476,0,476,0,0,0
joystick.o,0.935431%,462,0,462,0,0,0
stm32f10x_dma.o,0.866590%,428,0,428,0,0,0
action.o,0.834194%,412,32,380,0,32,0
stm32f10x_adc.o,0.797749%,394,0,394,0,0,0
sinf.o,0.793699%,392,0,392,0,0,0
rredf.o,0.793699%,392,0,360,32,0,0
cosf.o,0.769402%,380,0,380,0,0,0
timer.o,0.747130%,369,3,366,0,3,0
ps2.o,0.745105%,368,9,368,0,0,9
system_stm32f10x.o,0.704610%,348,20,328,0,20,0
ultrasonic.o,0.680313%,336,0,336,0,0,0
dadd.o,0.676264%,334,0,334,0,0,0
_scanf_int.o,0.672214%,332,0,332,0,0,0
cos_i.o,0.607423%,300,0,252,48,0,0
stm32f10x_tim.o,0.566928%,280,0,280,0,0,0
sin_i.o,0.558829%,276,0,236,40,0,0
startup_stm32f10x_md.o,0.550730%,272,1024,36,236,0,1024
dmul.o,0.461641%,228,0,228,0,0,0
ddiv.o,0.449493%,222,0,222,0,0,0
systick.o,0.404948%,200,4,196,0,4,0
depilogue.o,0.376602%,186,0,186,0,0,0
fadd.o,0.356355%,176,0,176,0,0,0
poly.o,0.344206%,170,0,170,0,0,0
dsqrt.o,0.328008%,162,0,162,0,0,0
sin.o,0.323959%,160,0,160,0,0,0
cos.o,0.315860%,156,0,156,0,0,0
fdiv.o,0.251068%,124,0,124,0,0,0
global.o,0.238920%,118,0,118,0,0,0
stm32f10x_spi.o,0.226771%,112,0,112,0,0,0
misc.o,0.226771%,112,0,112,0,0,0
fepilogue.o,0.222722%,110,0,110,0,0,0
ctype_c.o,0.210573%,104,0,40,64,0,0
key.o,0.210573%,104,0,104,0,0,0
beep.o,0.210573%,104,0,104,0,0,0
fmul.o,0.202474%,100,0,100,0,0,0
uldiv.o,0.198425%,98,0,98,0,0,0
dcmp4.o,0.194375%,96,0,96,0,0,0
fsqrt.o,0.190326%,94,0,94,0,0,0
rcc.o,0.190326%,94,0,94,0,0,0
__dczerorl2.o,0.174128%,86,0,86,0,0,0
sqrt.o,0.153880%,76,0,76,0,0,0
sys.o,0.145781%,72,0,72,0,0,0
fmin.o,0.133633%,66,0,66,0,0,0
fmax.o,0.133633%,66,0,66,0,0,0
_sgetc.o,0.129584%,64,0,64,0,0,0
dfixi.o,0.125534%,62,0,62,0,0,0
frnd.o,0.121485%,60,0,60,0,0,0
servopid.o,0.121485%,60,0,60,0,0,0
d2f.o,0.113386%,56,0,56,0,0,0
__0sscanf.o,0.113386%,56,0,56,0,0,0
led.o,0.113386%,56,0,56,0,0,0
ffixi.o,0.101237%,50,0,50,0,0,0
dfixul.o,0.097188%,48,0,48,0,0,0
cdrcmple.o,0.097188%,48,0,48,0,0,0
gy33t.o,0.097188%,48,0,48,0,0,0
dscalb.o,0.093138%,46,0,46,0,0,0
uidiv.o,0.089089%,44,0,44,0,0,0
sqrtf.o,0.089089%,44,0,44,0,0,0
ffixui.o,0.080990%,40,0,40,0,0,0
scanf_char.o,0.080990%,40,0,40,0,0,0
fpclassify.o,0.080990%,40,0,40,0,0,0
f2d.o,0.076940%,38,0,38,0,0,0
fpclassifyf.o,0.076940%,38,0,38,0,0,0
memseta.o,0.072891%,36,0,36,0,0,0
memcpya.o,0.072891%,36,0,36,0,0,0
llsshr.o,0.072891%,36,0,36,0,0,0
init.o,0.072891%,36,0,36,0,0,0
dflti.o,0.068841%,34,0,34,0,0,0
dunder.o,0.068841%,34,0,34,0,0,0
llushr.o,0.064792%,32,0,32,0,0,0
llshl.o,0.060742%,30,0,30,0,0,0
handlers.o,0.060742%,30,0,30,0,0,0
_chval.o,0.056693%,28,0,28,0,0,0
funder.o,0.056693%,28,0,28,0,0,0
dfltui.o,0.052643%,26,0,26,0,0,0
fscalb.o,0.048594%,24,0,24,0,0,0
dfltul.o,0.048594%,24,0,24,0,0,0
cfrcmple.o,0.040495%,20,0,20,0,0,0
cfcmple.o,0.040495%,20,0,20,0,0,0
fflti.o,0.036445%,18,0,18,0,0,0
strcpy.o,0.036445%,18,0,18,0,0,0
errno.o,0.032396%,16,4,12,0,4,0
strlen.o,0.028346%,14,0,14,0,0,0
ffltui.o,0.020247%,10,0,10,0,0,0
isspace_c.o,0.020247%,10,0,10,0,0,0
entry9a.o,0.016198%,8,0,8,0,0,0
entry2.o,0.016198%,8,0,8,0,0,0
stdout.o,0.008099%,4,4,0,0,4,0
entry5.o,0.008099%,4,0,4,0,0,0
entry12b.o,0.008099%,4,0,4,0,0,0
