File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
spi_flash.o,37.367321%,4119,929,924,0,5,4114
uart.o,27.959721%,3082,1562,1552,0,10,3072
protocol.o,11.657444%,1285,3509,3484,24,1,1284
main.o,9.335027%,1029,1525,496,0,1029,0
startup_stm32f10x_md.o,9.289667%,1024,272,36,236,0,1024
pwmservo.o,2.068403%,228,996,992,0,4,224
app_ps2.o,0.689467%,76,1361,648,637,76,0
function.o,0.362878%,40,1291,1152,99,40,0
application.o,0.299374%,33,1769,1736,0,33,0
action.o,0.290302%,32,412,380,0,32,0
system_stm32f10x.o,0.181439%,20,348,328,0,20,0
stm32f10x_rcc.o,0.181439%,20,836,816,0,20,0
ps2.o,0.108863%,12,839,816,20,3,9
mc_w.l,0.072576%,8,4000,3928,64,8,0
stdout.o,0.036288%,4,4,0,0,4,0
errno.o,0.036288%,4,16,12,0,4,0
systick.o,0.036288%,4,200,196,0,4,0
timer.o,0.027216%,3,369,366,0,3,0
